iter	Passed	Remaining
0	233	97298
1	269	55994
2	307	42584
3	348	36085
4	380	31469
5	423	29072
6	458	26934
7	501	25709
8	536	24363
9	576	23538
10	617	22833
11	659	22308
12	697	21739
13	735	21217
14	770	20690
15	809	20346
16	848	20017
17	892	19829
18	923	19385
19	963	19177
20	997	18865
21	1038	18688
22	1075	18461
23	1105	18156
24	1147	18043
25	1182	17832
26	1219	17666
27	1252	17442
28	1293	17357
29	1332	17238
30	1366	17064
31	1404	16947
32	1439	16793
33	1474	16652
34	1509	16523
35	1538	16328
36	1573	16200
37	1612	16129
38	1651	16051
39	1686	15940
40	1734	15952
41	1768	15834
42	1805	15744
43	1839	15638
44	1876	15552
45	1915	15494
46	1952	15414
47	1992	15361
48	2032	15303
49	2074	15271
50	2116	15227
51	2155	15168
52	2186	15057
53	2220	14971
54	2250	14853
55	2292	14822
56	2330	14761
57	2362	14663
58	2404	14629
59	2443	14582
60	2475	14487
61	2507	14398
62	2538	14306
63	2572	14230
64	2613	14194
65	2653	14150
66	2688	14082
67	2727	14036
68	2758	13953
69	2801	13929
70	2839	13875
71	2870	13793
72	2907	13739
73	2951	13720
74	2983	13645
75	3022	13603
76	3054	13526
77	3093	13485
78	3135	13456
79	3174	13412
80	3220	13400
81	3263	13372
82	3300	13321
83	3338	13275
84	3378	13235
85	3425	13224
86	3475	13224
87	3520	13203
88	3561	13166
89	3606	13143
90	3644	13095
91	3683	13052
92	3730	13036
93	3769	12991
94	3801	12923
95	3841	12884
96	3884	12854
97	3928	12828
98	3963	12772
99	4003	12729
100	4033	12658
101	4076	12630
102	4106	12560
103	4150	12530
104	4196	12510
105	4225	12437
106	4263	12391
107	4300	12343
108	4335	12290
109	4364	12221
110	4408	12191
111	4445	12145
112	4479	12089
113	4511	12030
114	4550	11990
115	4589	11947
116	4622	11890
117	4661	11852
118	4692	11791
119	4726	11738
120	4757	11677
121	4798	11642
122	4839	11607
123	4870	11546
124	4905	11498
125	4943	11457
126	4987	11427
127	5022	11379
128	5053	11320
129	5090	11276
130	5124	11227
131	5155	11169
132	5206	11156
133	5245	11118
134	5286	11081
135	5317	11025
136	5354	10981
137	5384	10925
138	5424	10887
139	5457	10837
140	5491	10787
141	5532	10752
142	5573	10719
143	5615	10685
144	5662	10660
145	5704	10628
146	5744	10589
147	5785	10554
148	5820	10507
149	5853	10459
150	5885	10407
151	5922	10364
152	5956	10316
153	5996	10280
154	6026	10224
155	6057	10173
156	6088	10122
157	6118	10067
158	6149	10016
159	6185	9973
160	6214	9920
161	6251	9878
162	6291	9842
163	6319	9786
164	6356	9747
165	6396	9710
166	6434	9670
167	6465	9620
168	6490	9562
169	6522	9514
170	6557	9472
171	6586	9420
172	6609	9359
173	6642	9314
174	6679	9274
175	6715	9234
176	6749	9190
177	6788	9153
178	6824	9111
179	6853	9061
180	6890	9022
181	6919	8972
182	6950	8926
183	6974	8869
184	7013	8833
185	7050	8793
186	7080	8746
187	7107	8694
188	7141	8653
189	7173	8607
190	7214	8574
191	7257	8542
192	7292	8501
193	7320	8451
194	7354	8410
195	7389	8369
196	7426	8331
197	7450	8277
198	7478	8230
199	7517	8193
200	7555	8157
201	7591	8117
202	7616	8066
203	7657	8032
204	7704	8005
205	7739	7964
206	7772	7923
207	7812	7888
208	7858	7858
209	7901	7826
210	7927	7777
211	7975	7749
212	8014	7713
213	8049	7673
214	8075	7624
215	8112	7586
216	8139	7538
217	8182	7506
218	8217	7466
219	8249	7424
220	8282	7383
221	8318	7344
222	8359	7309
223	8386	7262
224	8425	7226
225	8462	7189
226	8490	7143
227	8530	7108
228	8572	7074
229	8600	7029
230	8636	6991
231	8681	6959
232	8724	6927
233	8767	6894
234	8803	6855
235	8841	6818
236	8872	6776
237	8899	6730
238	8940	6696
239	8976	6657
240	9010	6617
241	9053	6584
242	9101	6554
243	9140	6517
244	9186	6487
245	9217	6444
246	9263	6412
