iter	Logloss
0	0.6881355128
1	0.6835070293
2	0.6788637048
3	0.6737858697
4	0.6690288669
5	0.6645931664
6	0.6603864871
7	0.6564393568
8	0.6523307826
9	0.6483275875
10	0.6439813236
11	0.6405001558
12	0.6370159741
13	0.6333966569
14	0.6301428244
15	0.6274072269
16	0.624351417
17	0.6209518741
18	0.6176439535
19	0.6144978974
20	0.6113051822
21	0.6086337574
22	0.6061748203
23	0.6038687051
24	0.6010729097
25	0.5984446681
26	0.5957846172
27	0.5934600775
28	0.5911123695
29	0.5886460379
30	0.5866311295
31	0.5843868411
32	0.5819987005
33	0.5800487609
34	0.5780132133
35	0.5758538177
36	0.5741624345
37	0.5718380598
38	0.569701484
39	0.5676129065
40	0.5658747942
41	0.5642297162
42	0.5627440886
43	0.5609646564
44	0.5594486958
45	0.5580589613
46	0.5566991957
47	0.5552677088
48	0.5537705464
49	0.5523781176
50	0.5506854353
51	0.5492873611
52	0.5478812895
53	0.5464480822
54	0.544983403
55	0.5437458314
56	0.5426438991
57	0.541605217
58	0.5402063177
59	0.5390706884
60	0.5379810518
61	0.5368693752
62	0.5357309342
63	0.53450676
64	0.5335910863
65	0.532805672
66	0.5319978333
67	0.5310679947
68	0.5299269283
69	0.5290023961
70	0.5281557425
71	0.5273128621
72	0.5263323949
73	0.5254410211
74	0.5245020023
75	0.5235348995
76	0.5227660711
77	0.5221500629
78	0.5215281386
79	0.5207559452
80	0.5200167205
81	0.5194619985
82	0.5189058577
83	0.5184171108
84	0.5179181575
85	0.5173411664
86	0.516687582
87	0.5161204429
88	0.5151115294
89	0.5146340362
90	0.5141473042
91	0.5136065025
92	0.5132387214
93	0.5126364091
94	0.5119726131
95	0.5114355539
96	0.5107786967
97	0.5103728669
98	0.5097500875
99	0.5092536295
100	0.5086820582
101	0.5081963202
102	0.5075148985
103	0.5068486952
104	0.5064990321
105	0.506030748
106	0.505551489
107	0.5051700264
108	0.5046999401
109	0.504368439
110	0.5040372198
111	0.5035266435
112	0.5031270222
113	0.5028271217
114	0.5024694115
115	0.5020943908
116	0.5018586539
117	0.5013654922
118	0.5011849417
119	0.5007094898
120	0.5003334596
121	0.4998509111
122	0.4994012087
123	0.4991127387
124	0.4987592443
125	0.4984790317
126	0.4981281769
127	0.4977541437
128	0.4975129866
129	0.4971495513
130	0.4968596091
131	0.4966186903
132	0.4962574355
133	0.4958135312
134	0.4955810148
135	0.4952552437
136	0.4949511516
137	0.4946983558
138	0.4944795978
139	0.4942033343
