iter	Passed	Remaining
0	54	23605
1	94	20694
2	131	19029
3	173	18775
4	208	18048
5	245	17640
6	284	17486
7	682	36669
8	752	35868
9	804	34412
10	900	34962
11	942	33459
12	983	32164
13	1026	31075
14	1060	29904
15	1097	28933
16	1138	28199
17	1180	27543
18	1229	27109
19	1268	26505
20	1306	25953
21	1344	25428
22	1385	24994
23	1420	24495
24	1460	24133
25	1503	23827
26	1544	23518
27	1580	23145
28	1621	22867
29	1659	22575
30	1699	22307
31	1742	22108
32	1780	21853
33	1817	21594
34	1856	21373
35	1897	21184
36	1931	20930
37	1976	20807
38	2027	20742
39	2065	20551
40	2111	20442
41	2154	20309
42	2196	20177
43	2238	20048
44	2279	19907
45	2321	19780
46	2359	19632
47	2400	19500
48	2441	19385
49	2485	19283
50	2524	19159
51	2566	19053
52	2604	18922
53	2650	18848
54	2691	18739
55	2731	18634
56	2765	18482
57	2805	18382
58	2850	18307
59	2893	18229
60	2929	18103
61	2976	18050
62	3021	17987
63	3078	17991
64	3123	17924
65	3173	17886
66	3218	17819
67	3259	17735
68	3301	17656
69	3344	17580
70	3381	17477
71	3418	17377
72	3457	17286
73	3493	17185
74	3537	17120
75	3578	17044
76	3613	16940
77	3652	16859
78	3685	16746
79	3729	16688
80	3769	16613
81	3807	16528
82	3845	16449
83	3881	16356
84	3925	16300
85	3966	16236
86	4012	16188
87	4053	16120
88	4096	16062
89	4135	15988
90	4181	15943
91	4226	15897
92	4261	15809
93	4309	15771
94	4354	15721
95	4398	15670
96	4441	15613
97	4472	15515
98	4513	15453
99	4547	15371
100	4593	15325
101	4627	15243
102	4670	15189
103	4711	15132
104	4746	15052
105	4782	14978
106	4819	14907
107	4862	14856
108	4903	14800
109	4941	14733
110	4980	14673
111	5023	14621
112	5058	14547
113	5094	14478
114	5135	14424
115	5173	14361
116	5216	14311
117	5251	14241
118	5286	14170
119	5327	14117
120	5374	14079
121	5412	14019
122	5457	13975
123	5498	13924
124	5540	13872
125	5586	13832
126	5632	13793
127	5679	13754
128	5717	13695
129	5754	13633
130	5793	13576
131	5828	13511
132	5870	13463
133	5913	13414
134	5956	13368
135	6010	13347
136	6060	13314
137	6104	13270
138	6150	13230
139	6185	13166
140	6227	13116
141	6255	13039
142	6286	12969
143	6321	12907
144	6359	12849
145	6392	12785
146	6425	12719
147	6456	12651
148	6496	12600
149	6536	12551
150	6576	12499
151	6614	12446
152	6653	12392
153	6693	12343
154	6739	12305
155	6767	12233
156	6813	12195
157	6855	12148
158	6889	12089
159	6934	12048
160	6985	12018
161	7025	11969
162	7061	11914
163	7104	11870
164	7140	11814
165	7175	11757
166	7209	11699
167	7252	11656
168	7294	11611
169	7320	11541
170	7365	11500
171	7406	11454
172	7435	11389
173	7470	11334
174	7499	11269
175	7541	11226
176	7573	11168
177	7609	11115
178	7645	11062
179	7680	11008
180	7717	10958
